epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.0847,0.76837,2.71447,1.15522,0.5361,0.96583,0.71369,0.63746,0.44448,2.28767,0.89771,0.00024293,0.00024293,0.00024293
2,38.9342,0.52046,1.24585,0.9647,0.72083,0.73114,0.72512,0.62288,0.46838,2.17274,0.9153,0.000490247,0.000490247,0.000490247
3,45.9212,0.57921,1.09016,0.98322,0.41233,0.72666,0.60174,0.43427,0.67199,2.8342,1.10839,0.000727378,0.000727378,0.000727378
4,52.8245,0.57709,0.99122,0.96365,0.65737,0.5775,0.60316,0.30719,1.26073,5.10622,2.8323,0.000954323,0.000954323,0.000954323
5,58.8798,0.57602,0.90887,0.9758,0.53597,0.57886,0.5451,0.34472,1.73095,4.97429,5.84065,0.00117108,0.00117108,0.00117108
6,65.7308,0.58753,0.83663,0.96278,0.27958,0.55917,0.44211,0.29155,0.90052,3.38296,1.30231,0.00128753,0.00128753,0.00128753
7,71.6917,0.52769,0.76905,0.94164,0.69318,0.25525,0.26552,0.19327,1.06825,5.21006,1.78929,0.00125923,0.00125923,0.00125923
8,78.4742,0.54525,0.72742,0.95349,0.83034,0.46333,0.61857,0.5197,0.61839,2.17871,1.03313,0.00123094,0.00123094,0.00123094
9,84.5856,0.50546,0.66597,0.94779,0.09346,0.16324,0.05427,0.03799,3.3742,12.4505,4.07432,0.00120265,0.00120265,0.00120265
10,91.3934,0.53295,0.71779,0.9488,0.37651,0.32685,0.25401,0.07823,nan,nan,nan,0.00117435,0.00117435,0.00117435
11,97.5327,0.48745,0.6503,0.93265,0.65447,0.38194,0.36207,0.22752,2.89001,4.8555,3.39213,0.00114606,0.00114606,0.00114606
12,104.451,0.47112,0.61165,0.92148,0.88441,0.7709,0.91719,0.83335,0.41435,0.76655,0.89223,0.00111776,0.00111776,0.00111776
13,110.55,0.48463,0.60977,0.93989,0.86311,0.80276,0.87345,0.77682,0.40662,0.63243,0.87863,0.00108947,0.00108947,0.00108947
14,117.548,0.49335,0.63932,0.93801,0.66229,0.80778,0.72909,0.634,0.58165,2.24134,1.00314,0.00106118,0.00106118,0.00106118
15,123.579,0.48419,0.59015,0.94032,0.8706,0.8062,0.9519,0.87958,0.37916,0.79062,0.88277,0.00103288,0.00103288,0.00103288
16,130.537,0.45079,0.58333,0.91935,0.87773,0.83847,0.91202,0.79311,0.44447,0.81953,0.89863,0.00100459,0.00100459,0.00100459
17,136.487,0.43145,0.53861,0.90984,0.86218,0.87021,0.97085,0.87654,0.39829,0.68842,0.88316,0.000976293,0.000976293,0.000976293
18,143.344,0.44317,0.56821,0.9169,0.7902,0.90489,0.92968,0.84824,0.40503,0.79202,0.88854,0.000947999,0.000947999,0.000947999
19,150.613,0.45666,0.54494,0.91942,0.86709,0.96631,0.99433,0.91974,0.38698,0.49239,0.86938,0.000919704,0.000919704,0.000919704
20,157.475,0.45245,0.52209,0.91831,0.95685,0.98203,0.98895,0.92263,0.35971,0.38918,0.86597,0.00089141,0.00089141,0.00089141
